Head;0.1222118;0.8060722;2.658647
Shoulder-Center;0.2260662;0.6513283;2.694869
Shoulder-Right;0.3553579;0.5268483;2.611192
Shoulder-Left;0.07082295;0.5116562;2.773988
Elbow-Right;0.4574448;0.2949992;2.560245
Elbow-Left;0.03245723;0.2698538;2.814364
Wrist-Right;0.4316446;0.07295822;2.522397
Wrist-Left;0.01881492;0.05571094;2.733027
Hand-Right;0.4179263;0.00373368;2.511157
Hand-Left;0.007811889;0.01179907;2.73096
Spine;0.2188993;0.2807576;2.71388
Hip-centro;0.1863788;0.2143467;2.668273
Hip-Right;0.2415133;0.1397981;2.618807
Hip-Left;0.116389;0.1355269;2.705006
Knee-Right;0.3034682;-0.2855005;2.642695
Knee-Left;0.1364579;-0.2740592;2.726815
Ankle-Right;0.3438159;-0.6044258;2.734308
Ankle-Left;0.1650681;-0.618723;2.767116
Foot-Right;0.3509493;-0.6929479;2.694655
Foot-Left;0.1209178;-0.7030044;2.745821
Head;0.1134249;0.8053621;2.661609
Shoulder-Center;0.2159245;0.6507127;2.69896
Shoulder-Right;0.3458692;0.5260123;2.609129
Shoulder-Left;0.0693009;0.5136158;2.783513
Elbow-Right;0.4517336;0.2963891;2.556266
Elbow-Left;0.03430149;0.2596262;2.824532
Wrist-Right;0.4262767;0.074239;2.519102
Wrist-Left;0.02717214;0.04138345;2.756835
Hand-Right;0.4166661;0.004579548;2.510373
Hand-Left;0.01920957;-0.01956489;2.734575
Spine;0.2141743;0.2798112;2.717116
Hip-centro;0.181273;0.2127601;2.673683
Hip-Right;0.2357342;0.1380295;2.622447
Hip-Left;0.1137151;0.1342805;2.712221
Knee-Right;0.3030732;-0.2862999;2.643588
Knee-Left;0.1366265;-0.273709;2.731392
Ankle-Right;0.3434663;-0.6047439;2.733691
Ankle-Left;0.1656007;-0.6186798;2.767299
Foot-Right;0.3513537;-0.693126;2.6948
Foot-Left;0.1204305;-0.7027631;2.745608
Head;0.1034677;0.8028734;2.664289
Shoulder-Center;0.2075265;0.6488645;2.701458
Shoulder-Right;0.3361103;0.5267383;2.608076
Shoulder-Left;0.06865381;0.514786;2.787862
Elbow-Right;0.4446194;0.2997941;2.550125
Elbow-Left;0.03551473;0.2526471;2.831622
Wrist-Right;0.4204842;0.07730705;2.514902
Wrist-Left;0.02860419;0.03230621;2.773382
Hand-Right;0.4120869;0.01015607;2.506207
Hand-Left;0.02501792;0.003618828;2.757051
Spine;0.2135877;0.2797347;2.716522
Hip-centro;0.1806682;0.212478;2.674318
Hip-Right;0.234941;0.1380529;2.622365
Hip-Left;0.1144497;0.133544;2.713873
Knee-Right;0.3027303;-0.286623;2.643635
Knee-Left;0.1370637;-0.2736515;2.735221
Ankle-Right;0.3430471;-0.6055586;2.733359
