Head;0.1608117;0.8497056;2.979708
Shoulder-Center;0.1773307;0.6467873;3.009776
Shoulder-Right;0.2523629;0.5638514;2.923243
Shoulder-Left;0.06931679;0.4995009;3.043337
Elbow-Right;0.3244961;0.3551564;2.865419
Elbow-Left;0.008669229;0.326311;3.171521
Wrist-Right;0.2631885;0.0923764;2.791306
Wrist-Left;-0.04019096;0.1279555;3.132018
Hand-Right;0.2406588;0.03414097;2.776653
Hand-Left;-0.05877882;0.04493126;3.114949
Spine;0.1522588;0.2895388;3.024445
Hip-centro;0.1349064;0.2123349;3.014839
Hip-Right;0.1666344;0.1575774;2.99305
Hip-Left;0.09485871;0.1577747;3.040682
Knee-Right;0.253363;-0.2707404;2.948884
Knee-Left;0.1279685;-0.2676356;3.149168
Ankle-Right;0.2762371;-0.6239909;3.023648
Ankle-Left;0.2087545;-0.6142187;3.182754
Foot-Right;0.232392;-0.7004569;2.98457
Foot-Left;0.173243;-0.6872195;3.168488
Head;0.1647;0.8841609;2.973961
Shoulder-Center;0.1819916;0.721032;2.998508
Shoulder-Right;0.238504;0.5670985;2.924344
Shoulder-Left;0.07634517;0.5630963;3.029651
Elbow-Right;0.325478;0.355088;2.865777
Elbow-Left;0.0178906;0.3453607;3.16676
Wrist-Right;0.2651632;0.0902482;2.793867
Wrist-Left;-0.03605026;0.1472649;3.13719
Hand-Right;0.2468848;0.03100828;2.777431
Hand-Left;-0.05397592;0.07759815;3.119212
Spine;0.1511798;0.2904313;3.025947
Hip-centro;0.1351524;0.2102691;3.019701
Hip-Right;0.1639397;0.157933;2.997534
Hip-Left;0.09839423;0.1584664;3.046211
Knee-Right;0.2533198;-0.2718392;2.949885
Knee-Left;0.1308185;-0.2670538;3.146758
Ankle-Right;0.276633;-0.6233491;3.023154
Ankle-Left;0.2088849;-0.613595;3.182539
Foot-Right;0.2319019;-0.7001413;2.983701
Foot-Left;0.1734527;-0.686684;3.16855
Head;0.1645649;0.8828318;2.974442
Shoulder-Center;0.183314;0.720217;2.999849
Shoulder-Right;0.2436678;0.5668854;2.921722
Shoulder-Left;0.07766753;0.5622814;3.030992
Elbow-Right;0.3260221;0.3519862;2.865518
Elbow-Left;0.01783987;0.3119186;3.111024
Wrist-Right;0.266389;0.09038401;2.794547
Wrist-Left;-0.04538749;0.1225423;3.14797
Hand-Right;0.2488875;0.03057145;2.77939
Hand-Left;-0.05412173;0.08025166;3.120682
Spine;0.1542315;0.2884836;3.025586
Hip-centro;0.1403616;0.2054771;3.020492
Hip-Right;0.1694396;0.157475;3.002306
Hip-Left;0.1041666;0.1572081;3.041489
Knee-Right;0.2529334;-0.2712129;2.948541
Knee-Left;0.1321549;-0.2681438;3.14694
Ankle-Right;0.2774304;-0.6223587;3.021803
Ankle-Left;0.2091325;-0.6126224;3.181929
Foot-Right;0.2312295;-0.6999472;2.986164
Foot-Left;0.1744768;-0.6863998;3.169744
Head;0.1645477;0.8793147;2.976477
Shoulder-Center;0.1816623;0.7155856;3.005958
Shoulder-Right;0.2534854;0.5378038;2.918865
Shoulder-Left;0.0829106;0.4808281;3.032688
Elbow-Right;0.3205719;0.3223829;2.864953
Elbow-Left;0.01753379;0.2303482;3.109145
Wrist-Right;0.2688137;0.08908175;2.795115
Wrist-Left;-0.09633354;0.08287598;3.183339
Hand-Right;0.2495068;0.03012556;2.778838
Hand-Left;-0.1342893;0.03371857;3.212587
Spine;0.1530157;0.2845927;3.028039
Hip-centro;0.1394395;0.2002531;3.024111
Hip-Right;0.1673928;0.1475583;3.004116
Hip-Left;0.1032311;0.1490546;3.04774
Knee-Right;0.2522579;-0.2730803;2.949578
Knee-Left;0.1322927;-0.2680477;3.14681
